REGIO	ZALTI	LOC	P	PD
11	1	111	647.2	34.06
11	2	112	647.2	34.06
11	3	113	647.2	34.06
21	1	211	616.4	22.18
21	2	212	1070.7	126.7
21	3	213	1070.7	126.7
22	1	221	715.2	48.8
22	2	222	715.2	48.8
22	3	223	715.2	48.8
23	1	231	783.6	-45.96
23	2	232	783.6	-45.96
23	3	233	783.6	-45.96
24	1	241	648.3	26.3
24	2	242	689.6	23.84
24	3	243	689.6	23.84
25	1	251	642.4	-74.26
25	2	252	642.4	-74.26
25	3	253	642.4	-74.26
26	1	261	877.6	85.96
26	2	262	835.4	75.04
26	3	263	835.4	75.04
31	1	311	836	52.02
31	2	312	836	52.02
31	3	313	836	52.02
41	1	411	704.7	14.92
41	2	412	1009.9	142.28
41	3	413	1009.9	142.28
42	1	421	730.3	137.2
42	2	422	895.9	126.2
42	3	423	895.9	126.2
43	1	431	1226.8	861.6
43	2	432	1458.9	339
43	3	433	1019.5	75.5
52	1	521	638.2	-61.4
52	2	522	638.2	-61.4
52	3	523	638.2	-61.4
53	1	531	625.3	-78.7
53	2	532	625.3	-78.7
53	3	533	625.3	-78.7
54	1	541	794.7	30.02
54	2	542	794.7	30.02
54	3	543	794.7	30.02
72	1	721	922.2	105.34
72	2	722	1142	-25.5
72	3	723	1142	-25.5
73	1	731	576.6	16.86
73	2	732	919.3	-92.56
73	3	733	680.1	46.92
74	1	741	947.7	148.04
74	2	742	958.6	21.76
74	3	743	880	18.02
82	1	821	1107.4	-62.58
82	2	822	828.6	-186.4
82	3	823	1038.1	46.46
83	1	831	617.1	93.14
83	2	832	1281.8	258.66
83	3	833	736.3	78.76
91	1	911	711.4	9.24
91	2	912	458.1	-180.4
91	3	913	840.5	114.68
93	1	931	332.8	-209.38
93	2	932	678.3	-100.32
93	3	933	848.2	135.52
94	1	941	630.2	-62.26
94	2	942	633.1	-95.98
94	3	943	633.1	-95.98
