REGIO	ZALTI	LOC	S	SD
11	1	111	1800.3	-20.32
11	2	112	1800.3	-20.32
11	3	113	1800.3	-20.32
21	1	211	2109.7	667
21	2	212	1721.2	62.54
21	3	213	1721.2	62.54
22	1	221	1695.9	-13.2
22	2	222	1695.9	-13.2
22	3	223	1695.9	-13.2
23	1	231	1536.2	-7.3
23	2	232	1536.2	-7.3
23	3	233	1536.2	-7.3
24	1	241	1784.3	-64.78
24	2	242	1852.3	-21.24
24	3	243	1852.3	-21.24
25	1	251	1887.5	31.1
25	2	252	1887.5	31.1
25	3	253	1887.5	31.1
26	1	261	1914.5	119.36
26	2	262	1886.4	12.22
26	3	263	1886.4	12.22
31	1	311	1626.5	14.18
31	2	312	1626.5	14.18
31	3	313	1626.5	14.18
41	1	411		
41	2	412	1761.9	13.475
41	3	413	1761.9	13.475
42	1	421	1723.1	-5.14
42	2	422	1830.4	-5.5
42	3	423	1830.4	-5.5
43	1	431		
43	2	432	1817.3	-72.98
43	3	433	1841	76.12
52	1	521	1938.5	35.22
52	2	522	1938.5	35.22
52	3	523	1938.5	35.22
53	1	531	1864.5	6.48
53	2	532	1864.5	6.48
53	3	533	1864.5	6.48
54	1	541	2124.9	17.64
54	2	542	2124.9	17.64
54	3	543	2124.9	17.64
72	1	721	2115.5	-47.42
72	2	722	1885.3	-45.48
72	3	723	1885.3	-45.48
73	1	731	2126.3	-9.7
73	2	732	1967.2	-12.8
73	3	733	2086.2	-173.64
74	1	741	1962	-112.46
74	2	742	1894.4	-66.94
74	3	743	1923.1	111.15
82	1	821	1585.4	-390.42
82	2	822	2020.3	-119.58
82	3	823	1861.8	-159.06
83	1	831	1924.5	-50.38
83	2	832	2062.7	-124.92
83	3	833	1890.4	-35.38
91	1	911	2499.2	-240.26
91	2	912	2249.4	71.88
91	3	913	1984.2	19.2
93	1	931	2865.8	-91.28
93	2	932	2605.8	-206.5
93	3	933	2354.3	-214.24
94	1	941	2794.2	-69.86
94	2	942	2599.4	-98.82
94	3	943	2599.4	-98.82
