REGIO	ZALTI	LOC	T	TD
11	1	111	12.3	0.66
11	2	112	12.3	0.66
11	3	113	12.3	0.66
21	1	211	11.4	0.48
21	2	212	11.5	0.68
21	3	213	11.5	0.68
22	1	221	11.4	0.64
22	2	222	11.4	0.64
22	3	223	11.4	0.64
23	1	231	11.5	0.58
23	2	232	11.5	0.58
23	3	233	11.5	0.58
24	1	241	12.1	0.7
24	2	242	12.3	0.76
24	3	243	12.3	0.76
25	1	251	11.9	0.64
25	2	252	11.9	0.64
25	3	253	11.9	0.64
26	1	261	12	0.56
26	2	262	12.2	0.82
26	3	263	12.2	0.82
31	1	311	11.7	0.58
31	2	312	11.7	0.58
31	3	313	11.7	0.58
41	1	411	11.6	0.58
41	2	412	11.2	0.82
41	3	413	11.2	0.82
42	1	421	12.4	0.9
42	2	422	12	0.84
42	3	423	12	0.84
43	1	431	12.8	1.02
43	2	432	12.2	0.82
43	3	433	11.5	0.68
52	1	521	13.1	0.52
52	2	522	13.1	0.52
52	3	523	13.1	0.52
53	1	531	12.7	0.54
53	2	532	12.7	0.54
53	3	533	12.7	0.54
54	1	541	14	0.4
54	2	542	14	0.4
54	3	543	14	0.4
72	1	721	14.7	0.54
72	2	722	14.3	0.54
72	3	723	14.3	0.54
73	1	731	14.9	0.64
73	2	732	13.2	0.7
73	3	733	12.1	0.9
74	1	741	13.6	0.7
74	2	742	12.5	0.84
74	3	743	11.5	0.38
82	1	821	12.8	0.84
82	2	822	11.9	0.74
82	3	823	11.5	0.92
83	1	831	13	0.94
83	2	832	11.2	0.8
83	3	833	10	0.88
91	1	911	16.4	0.82
91	2	912	15.1	0.78
91	3	913	10.6	1.6
93	1	931	16.4	0.56
93	2	932	14.2	0.8
93	3	933	12.1	0.9
94	1	941	16.6	0.6
94	2	942	16.9	0.66
94	3	943	16.9	0.66
